name,cik,year,month,day,tag
878522_2006_03_27.txt,878522,2006,3,27,403
945983_2006_10_27.txt,945983,2006,10,27,404
1075348_2006_01_27.txt,1075348,2006,1,27,405
1099219_2006_04_27.txt,1099219,2006,4,27,406
1331301_2006_09_27.txt,1331301,2006,9,27,407
1337068_2006_07_27.txt,1337068,2006,7,27,408
764811_2006_04_28.txt,764811,2006,4,28,409
1053507_2006_07_28.txt,1053507,2006,7,28,410
1318545_2006_04_28.txt,1318545,2006,4,28,411
1012887_2006_03_29.txt,1012887,2006,3,29,412
1319161_2006_12_29.txt,1319161,2006,12,29,413
882104_2006_08_30.txt,882104,2006,8,30,414
1316625_2006_08_30.txt,1316625,2006,8,30,415
708717_2006_10_31.txt,708717,2006,10,31,416
77281_2007_05_01.txt,77281,2007,5,1,417
1001916_2007_11_01.txt,1001916,2007,11,1,418
1023024_2007_05_01.txt,1023024,2007,5,1,419
1089907_2007_03_01.txt,1089907,2007,3,1,420
875045_2007_05_02.txt,875045,2007,5,2,421
880643_2007_02_02.txt,880643,2007,2,2,422
904080_2007_07_02.txt,904080,2007,7,2,423
1378140_2007_10_02.txt,1378140,2007,10,2,424
1321544_2007_07_03.txt,1321544,2007,7,3,425
895095_2007_05_04.txt,895095,2007,5,4,426
1317019_2007_05_04.txt,1317019,2007,5,4,427
902622_2007_09_05.txt,902622,2007,9,5,428
82788_2007_02_06.txt,82788,2007,2,6,429
1095291_2007_11_06.txt,1095291,2007,11,6,430
1306830_2007_02_06.txt,1306830,2007,2,6,431
47518_2007_02_07.txt,47518,2007,2,7,432
913756_2007_05_07.txt,913756,2007,5,7,433
1016178_2007_02_07.txt,1016178,2007,2,7,434
1111721_2007_05_07.txt,1111721,2007,5,7,435
764811_2007_06_08.txt,764811,2007,6,8,436
1030339_2007_08_08.txt,1030339,2007,8,8,437
1098301_2007_03_08.txt,1098301,2007,3,8,438
351346_2007_07_09.txt,351346,2007,7,9,439
921506_2007_08_09.txt,921506,2007,8,9,440
878088_2007_09_10.txt,878088,2007,9,10,441
1135152_2007_05_10.txt,1135152,2007,5,10,442
1260221_2007_01_10.txt,1260221,2007,1,10,443
102037_2007_12_11.txt,102037,2007,12,11,444
874214_2007_10_11.txt,874214,2007,10,11,445
1078271_2007_01_11.txt,1078271,2007,1,11,446
891106_2007_02_13.txt,891106,2007,2,13,447
909832_2007_12_13.txt,909832,2007,12,13,448
944136_2007_07_13.txt,944136,2007,7,13,449
1078207_2007_04_13.txt,1078207,2007,4,13,450
1138400_2007_11_13.txt,1138400,2007,11,13,451
1287032_2007_11_13.txt,1287032,2007,11,13,452
849433_2007_11_14.txt,849433,2007,11,14,453
883587_2007_05_14.txt,883587,2007,5,14,454
906337_2007_02_14.txt,906337,2007,2,14,455
1069489_2007_06_14.txt,1069489,2007,6,14,456
1263766_2007_08_14.txt,1263766,2007,8,14,457
1002517_2007_11_15.txt,1002517,2007,11,15,458
1092367_2007_03_15.txt,1092367,2007,3,15,459
921365_2007_01_16.txt,921365,2007,1,16,460
1018522_2007_05_16.txt,1018522,2007,5,16,461
1171486_2007_01_16.txt,1171486,2007,1,16,462
715073_2007_04_17.txt,715073,2007,4,17,463
1029630_2007_10_17.txt,1029630,2007,10,17,464
1378950_2007_10_17.txt,1378950,2007,10,17,465
64782_2007_04_18.txt,64782,2007,4,18,466
40704_2007_12_19.txt,40704,2007,12,19,467
66025_2007_07_19.txt,66025,2007,7,19,468
776867_2007_03_19.txt,776867,2007,3,19,469
811808_2007_10_19.txt,811808,2007,10,19,470
840264_2007_07_19.txt,840264,2007,7,19,471
872248_2007_09_19.txt,872248,2007,9,19,472
1090061_2007_06_19.txt,1090061,2007,6,19,473
1134538_2007_12_19.txt,1134538,2007,12,19,474
23217_2007_12_20.txt,23217,2007,12,20,475
95047_2007_07_20.txt,95047,2007,7,20,476
1005757_2007_11_20.txt,1005757,2007,11,20,477
886239_2007_05_21.txt,886239,2007,5,21,478
1137778_2007_08_21.txt,1137778,2007,8,21,479
1203866_2007_02_21.txt,1203866,2007,2,21,480
29669_2007_05_22.txt,29669,2007,5,22,481
1051379_2007_01_22.txt,1051379,2007,1,22,482
354655_2007_01_23.txt,354655,2007,1,23,483
717538_2007_07_23.txt,717538,2007,7,23,484
915913_2007_04_23.txt,915913,2007,4,23,485
927066_2007_03_23.txt,927066,2007,3,23,486
944522_2007_05_23.txt,944522,2007,5,23,487
19161_2007_08_24.txt,19161,2007,8,24,488
350698_2007_10_24.txt,350698,2007,10,24,489
354655_2007_10_24.txt,354655,2007,10,24,490
1298195_2007_07_24.txt,1298195,2007,7,24,491
888165_2007_09_25.txt,888165,2007,9,25,492
1021009_2007_04_25.txt,1021009,2007,4,25,493
28452_2007_01_26.txt,28452,2007,1,26,494
883981_2007_02_26.txt,883981,2007,2,26,495
65873_2007_04_27.txt,65873,2007,4,27,496
749935_2007_08_27.txt,749935,2007,8,27,497
1138400_2007_03_28.txt,1138400,2007,3,28,498
1018005_2007_08_29.txt,1018005,2007,8,29,499
1115836_2007_05_29.txt,1115836,2007,5,29,500
352915_2007_10_30.txt,352915,2007,10,30,501
732712_2007_04_30.txt,732712,2007,4,30,502
935724_2007_04_30.txt,935724,2007,4,30,503
1015328_2007_07_30.txt,1015328,2007,7,30,504
1046212_2007_01_30.txt,1046212,2007,1,30,505
1164727_2007_11_30.txt,1164727,2007,11,30,506
1169561_2007_10_30.txt,1169561,2007,10,30,507
1355855_2007_04_30.txt,1355855,2007,4,30,508
753568_2007_10_31.txt,753568,2007,10,31,509
1097313_2007_10_31.txt,1097313,2007,10,31,510
1137390_2007_05_31.txt,1137390,2007,5,31,511
1295557_2007_10_31.txt,1295557,2007,10,31,512
1373835_2007_01_31.txt,1373835,2007,1,31,513
40730_2008_10_01.txt,40730,2008,10,1,514
14177_2008_06_02.txt,14177,2008,6,2,515
45919_2008_01_02.txt,45919,2008,1,2,516
722256_2008_07_02.txt,722256,2008,7,2,517
776901_2008_09_02.txt,776901,2008,9,2,518
888491_2008_05_02.txt,888491,2008,5,2,519
1143155_2008_06_02.txt,1143155,2008,6,2,520
93451_2008_11_03.txt,93451,2008,11,3,521
704532_2008_04_03.txt,704532,2008,4,3,522
1029744_2008_12_03.txt,1029744,2008,12,3,523
911160_2008_12_04.txt,911160,2008,12,4,524
933974_2008_04_04.txt,933974,2008,4,4,525
949156_2008_02_04.txt,949156,2008,2,4,526
1029506_2008_08_04.txt,1029506,2008,8,4,527
1308161_2008_02_04.txt,1308161,2008,2,4,528
1082506_2008_08_05.txt,1082506,2008,8,5,529
789570_2008_10_06.txt,789570,2008,10,6,530
798354_2008_02_06.txt,798354,2008,2,6,531
874214_2008_03_06.txt,874214,2008,3,6,532
929994_2008_05_06.txt,929994,2008,5,6,533
1060801_2008_03_06.txt,1060801,2008,3,6,534
